P1: 用户增长是什么&增长应该怎么做

[0.0s - 4.6s] 首先说说为什么是同学内部都听不到的课程
[4.6s - 7.9s] 因为曾经我是打算做好这个系列的课程
[7.9s - 9.7s] 在同学内部分享的
[9.7s - 12.3s] 后来吧没做完,我离职了
[12.3s - 14.8s] 所以这真的是同学内部都听不到的课程
[14.8s - 18.2s] 至于为什么离职,那是另外一个故事,这里就不讲了
[18.2s - 21.8s] 但优秀的你还是被这个封面吸引进来了不是
[21.8s - 25.1s] 今天我们要聊的话题是,用户增长是个啥
[25.1s - 27.1s] 我打算做成一个系列课程
[27.1s - 28.9s] 如果你还没有看到下一集
[29.0s - 30.6s] 但是因为我还没有更新完
[30.6s - 32.8s] 当然是完全免费的
[32.8s - 34.0s] 为什么免费呢
[34.0s - 36.9s] 因为比起收费我更希望得到你的一键三连
[36.9s - 38.9s] 至少可以骗个赞
[38.9s - 41.3s] 好了我们进入正题
[41.3s - 43.3s] 首先呢用户增长是什么
[43.3s - 45.8s] 稍微正式一点来说此事
[45.8s - 49.1s] 以数据驱动营销以市场制造产品
[49.1s - 51.6s] 通过技术手段实现增长目标
[51.6s - 56.2s] 说的通俗一点就是用尽各种手段去提升产品的用户量
[56.2s - 58.8s] 当然了这种说法并不十分严谨
[58.9s - 62.2s] 因为那些写进刑法里边的手段还是不能用的
[62.2s - 65.8s] 但刑法没禁止的方法大家应该也是见识了不少
[65.8s - 69.8s] 比如说拼多多,师兄弟就帮我砍一刀
[69.8s - 72.1s] 大家应该见过很多了
[72.1s - 73.9s] 还有淘宝上的各种广告
[73.9s - 76.4s] 就比如说这个,你看这张图
[76.4s - 78.0s] 送你一张音乐键盘票
[78.0s - 79.9s] 点进去呢根本就是付费的
[79.9s - 81.2s] 但是至少我点进去了
[81.2s - 83.1s] 他的目标就完成了一小半
[83.1s - 86.0s] 还有P2P理财里边喜欢玩的一个花活
[86.0s - 88.8s] 动不动就送你几百块几千块的红包
[88.8s - 90.3s] 而且拼手机的时候呢
[90.3s - 92.0s] 你肯定是第一名的那个
[92.0s - 94.4s] 但仔细看文案不是300块
[94.4s - 96.4s] 是300块的提现资格
[96.4s - 99.0s] 所以你得先充值个几千块几万块
[99.0s - 101.8s] 然后你就能获得的是这300块的利息
[101.8s - 103.3s] 也就是几毛钱
[103.3s - 106.0s] 问题是你看重的是人家的利息
[106.0s - 108.0s] 人家看重的是你的本金
[108.0s - 110.4s] 闪屏上也有很多花活
[110.4s - 112.8s] 比如说放一个巨大个的指向性按钮
[112.8s - 114.0s] 像利器抢购
[114.0s - 115.0s] 这还不够
[115.0s - 117.0s] 发现有些用户还是去点跳过
[117.0s - 118.0s] 这怎么受得了
[118.1s - 120.6s] 于是自己也放一个跳过按钮在广告上
[120.6s - 121.7s] 实际上呢
[121.7s - 124.2s] 闪屏根本就没有划分什么点击区域
[124.2s - 125.7s] 整个就是一个大按钮
[125.7s - 127.0s] 点击点都是进广告
[127.0s - 129.8s] 所以你点了商家精心准备好的跳过
[129.8s - 131.3s] 就进了广告了
[131.3s - 133.4s] 至于售卖这个广告为的公司
[133.4s - 134.9s] 也是睁一只眼闭一只眼
[134.9s - 137.2s] 毕竟为效果付费的年代嘛
[137.2s - 138.5s] 用户点击广告越多
[138.5s - 139.8s] 自己就赚得越多
[139.8s - 141.6s] 所以骗了就骗了吧
[141.6s - 142.8s] 还有更绝的
[142.8s - 145.2s] 我知道各位看视频的小伙伴都很正直
[145.2s - 146.8s] 但是可能会有一些朋友
[146.8s - 149.0s] 喜欢看那些带点颜色的网站
[149.0s - 150.3s] 而且数量还不少
[150.3s - 153.8s] 看着看着忽然弹出一个很不正经的广告
[153.8s - 156.1s] 结果点击之后呢
[156.1s - 157.6s] 下载了一个很正经的APP
[157.6s - 160.8s] 比如说某条某浏览器或者某直播软件
[160.8s - 163.6s] 而这广告还真未必是网站挂出来的
[163.6s - 164.7s] 有可能是运营商
[164.7s - 166.0s] 也有可能是浏览器
[166.0s - 167.8s] 悄悄的劫持了这些网站
[167.8s - 168.8s] 推送给你的
[168.8s - 171.6s] 毕竟这种网站本身就不合法
[171.6s - 172.7s] 劫持了他们的流量
[172.7s - 173.6s] 他们也不敢吭声
[174.6s - 177.0s] 这个时候屏幕前的你可能会想问了
[177.0s - 179.0s] 各种丧心病狂的事情都做
[179.0s - 180.7s] 那还有什么事情是你们不做的吗
[180.7s - 182.4s] 哎 还真有
[182.4s - 184.5s] 接下来我们聊聊增长做什么
[184.5s - 185.8s] 以及增长不做什么
[185.8s - 187.2s] 问题太大
[187.2s - 188.2s] 我们就看几个选项
[188.2s - 190.0s] 给大家十几秒的时间
[190.0s - 191.1s] 先看一下这些选项
[191.1s - 194.1s] 对 可能这些选项有点看不懂
[194.1s - 195.8s] 没事 我直接说答案
[195.8s - 198.7s] 这是产品方向定义和战略方向
[198.7s - 201.0s] 一般来说是不归增长部门管的
[201.0s - 203.1s] 但其他的都是增长的工作
[203.2s - 204.4s] 质责范围内的事情
[204.4s - 206.9s] 我举个战略方向的问题
[206.9s - 209.2s] 时间回到2008年
[209.2s - 210.6s] 如果你是阿里的高层
[210.6s - 212.0s] 可能会面对这么一个问题
[212.0s - 214.8s] 淘宝网到底应不应该从百度导流
[214.8s - 217.4s] 也就是说从百度上搜商品
[217.4s - 220.8s] 能否允许百度去爬去淘宝的商品列表
[220.8s - 223.6s] 从流量的角度来看
[223.6s - 226.4s] 当时百度是BAT三区投资一
[226.4s - 227.2s] 流量很高
[227.2s - 228.4s] 用户口味也还不错
[228.4s - 231.0s] 肯定会有不少人在百度上搜商品
[231.5s - 233.7s] 如果允许百度搜索淘宝的商品列表
[233.7s - 236.9s] 那么百度自己的用户的体验就会更好
[236.9s - 240.0s] 而同时也可以给淘宝带来更多的流量
[240.0s - 241.9s] 看起来是一件双赢的事情
[241.9s - 243.2s] 但战略考虑的
[243.2s - 245.9s] 更多是长久的利益而非眼前的利益
[245.9s - 246.8s] 长远来看呢
[246.8s - 249.6s] 导流绝不是那么简单的事情
[249.6s - 252.4s] 第一 流量入口和品牌价值
[252.4s - 254.5s] 如果用户发现想买东西的时候
[254.5s - 256.2s] 百度搜索一下就能找到
[256.2s - 257.6s] 那买东西就是百度一下
[257.6s - 259.1s] 而不是淘宝一下了
[259.2s - 260.4s] 哪天百度一个开心
[260.4s - 263.1s] 把搜索的结果更多导向自由的电商
[263.1s - 264.7s] 那淘宝就会很痛了
[264.7s - 266.5s] 实际上百度不仅这么想了
[266.5s - 267.6s] 还这么干了
[267.6s - 268.8s] 年纪比较大的同学
[268.8s - 271.1s] 可能听过一个东西叫百度友啊
[271.1s - 274.7s] 那就是百度在电商领域里面的常识
[274.7s - 277.1s] 第二呢 对于淘宝来说
[277.1s - 279.3s] 重要的收入来源之一就是广告
[279.3s - 280.7s] 谁买了淘宝的广告
[280.7s - 282.9s] 那么在搜索结果上就会更靠前
[282.9s - 284.7s] 比如说你搜索蓝牙鼠标
[284.7s - 286.6s] 那么并不是最好的蓝牙鼠标
