P5: 用户增长之增长实验如何做？【完结篇】

[0.0s - 4.8s] 这节课我们花5分钟聊聊用户增长中的做实验环节
[4.8s - 9.2s] 大家可能会问,用户增长就做用户增长呀,为什么要做实验呢?
[9.2s - 13.6s] 不能直接照着方法论开始搬砖了吗?难道前面学的都是假的吗?
[13.6s - 20.8s] 不,前面讲的都是货真价实,只是我们在一些问题上还是要做实验去验证我们想的到底对不对
[20.8s - 25.2s] 来看两个例子,第一个案例,微信朋友圈广告
[25.4s - 32.8s] 如果我们给视频加个全屏的小标记,会不会吸引好奇的用户去点击这个视频,从而提升整体的广告点击率呢?
[32.8s - 35.2s] 你先想一下,我们来看第二个案例
[35.2s - 43.2s] RMB&B选客房的时候,默认会有一个价格范围的筛选进度条,默认是10美金到300美金
[43.2s - 48.0s] 如果我们把这个默认的筛选条件扩大,改成10美金到1000美金
[48.0s - 54.4s] 那么默认就可以筛选出更多更漂亮的客房,是不是可以提升用户预约的达成量呢?
[54.6s - 59.6s] 这两个假设看起来貌似都挺合理的,你猜结果会如何?
[59.6s - 64.6s] 对,既然我这么问了,你肯定也猜到了,这两个方案都失败了
[64.6s - 70.8s] 所以就算掌握了大量的方法论,但是你以为你以为的就是用户以为的吗?
[70.8s - 79.6s] 这个问题的答案是,那可真不一定,方法论很重要,但是哪种解法是最好的,还是要做实验,看数据才能确定
[79.8s - 86.8s] 所以对于产品经理这个角色来说,需要根据自己的经验结合方法论去提出各种各样的想法
[86.8s - 90.8s] 然后把想法放在实验平台上进行挥度测试
[90.8s - 93.8s] 又有些名词了,什么是挥度测试?
[93.8s - 101.8s] 对于一款产品来说,用户是分很多种不同的用户画像的,所以我们要用一些方法对用户进行随机分组
[101.8s - 105.8s] 尽量保证每个组里面每种画像角色的比例是一致的
[106.0s - 112.0s] 这些不同的用户分组称为挥度筒,将不同的方案放在不同的挥度筒进行测试
[112.0s - 118.0s] 然后查看用户针对不同方案的行为数据反馈,这个过程就叫做挥度测试
[118.0s - 125.0s] 之前做过的案例肯定是不能拿出来分享的,所以我们这里用一个架空案例来描述一下这个过程
[125.0s - 133.0s] 比如说小红书,小红书默认的首页是双裂扑布流,这样可以方便大家快速的筛选
[133.2s - 141.2s] 但是我们也知道,最近几年有款产品叫抖音,首页就是一个正在播放的视频,可以让用户更沉浸的消费内容
[141.2s - 149.2s] 而抖音的数据也将双裂排版的快手按在地上摩擦了好几年,所以我们可以得出一个看似合理的假设
[149.2s - 155.2s] 对于小红书来说,会不会用沉浸式的方式可以带来更好的用户留存呢?
[155.2s - 158.2s] 有了新想法,就可以去测试了
[158.4s - 165.4s] 所以我们把小红书的所有用户裸列一下,然后进行分组,男生一个组,女生分一组
[165.4s - 172.4s] 男生看到的都是原方案,女生看到的都是新方案,然后看看两边哪边的留存更好就好了
[172.4s - 175.4s] 真的吗?有没有感觉哪里不对?
[175.4s - 182.4s] 这样做的确很有问题,因为灰度测试的时候要求两边的用户尽量平均
[182.6s - 185.6s] 首先,男生跟女生的用户比例未必就是一样的
[185.6s - 190.6s] 其次,男生和女生的用户行为习惯很多时候是有明显差异的
[190.6s - 195.6s] 所以这个分灰度统的方式是有很大问题的,测试的结果也就没有意义了
[195.6s - 198.6s] 那应该怎么分呢?
[198.6s - 203.6s] 我们可以按照用户的ID尾号分组,G数分成一组,偶数分成一组
[203.6s - 207.6s] 这样大概率上就能保证两边用户的行为的一致性
[207.8s - 213.8s] 然后将语言方案和新方案放进两个灰度统进行测试,然后再看留存数据
[213.8s - 220.8s] 哎,这就对了,回顾一下,整个做实验的过程就是提出合理的假设,然后进行灰度测试
[220.8s - 223.8s] 根据灰度的数据,验证之前的假设是不是对的
[223.8s - 226.8s] 然后再进行新一轮的假设和优化
[226.8s - 231.8s] 这好像是个圈?啊,的确是个圈,但它又不是一个简单的圈
[231.8s - 234.8s] 上流一点的说法叫做增长飞轮
[235.0s - 238.0s] 接下来要敲黑板了,因为又有一个重点
[238.0s - 246.0s] 实验数据结果很重要,但数据一般不是重点,曾经有一节课提到的一个案例,可能有些同学已经忘了,我再重复一下题目
[246.0s - 249.0s] 我手游公司在某信息理由上投放了一则广告
[249.0s - 254.0s] 手游公司呢,分别设计了不同的封面图,分别是Plan A和Plan B
[254.0s - 259.0s] 你会选择哪个呢?对,肯定是先看数据,再决策,对吧?
[259.2s - 264.2s] 发现Plan A的点击率是2%,Plan B的点击率是10%,所以我们应该选择Plan B
[264.2s - 273.2s] 这就错了,为什么呢?因为你是游戏公司,用户点击了这个广告,它就一定会下载吗?那可不一定
[273.2s - 281.2s] 因为用户点击广告之后,还要经过落地页,Apps到页,然后等待下载完成,然后注册
[281.2s - 288.2s] 然后才能进入游戏,再然后才能为游戏充值,你要的是最后充值的利润
[288.4s - 295.4s] 所以,如果假设Plan A虽然点击率低,但是点击Plan A的人呢,因为喜欢这个IP,愿意等待下载
[295.4s - 302.4s] 完成枯燥的注册流程,最终有25%的游戏激活率,而点击Plan B的人呢,可能仅仅是因为好奇
[302.4s - 308.4s] 结果到了广告落地页,发现是个游戏,就离开了,最后只有3%的激活率
[308.4s - 315.4s] 那么Plan A最终的转化率是0.5%,而Plan B的最终转化率只有0.3%
[315.6s - 322.6s] 那么Plan A就逆袭了,当然了,这个案例和数据都是杜撰的,只是为了讲清楚看数据的思路
[322.6s - 328.6s] 到这里是不是长出一口气,终于也会看数据了,但是这样吗?
[328.6s - 334.6s] 实际上,即使你认真地分析了数据,数据仍然不会告诉你一切真相
[334.6s - 341.6s] 我们来看一个飞机的故事,1941年,第二次世界大战中,美国哥伦比亚大学统计学沃德教授
[341.8s - 345.8s] 应军方的要求去解决一个专业问题,这个问题是什么呢?
[345.8s - 350.8s] 飞机应该如何加强防护,才能降低被炮火击落的几率
[350.8s - 354.8s] 沃德教授分析了遭受攻击后返回营地的轰炸机数据
[354.8s - 360.8s] 研究后发现,机翼是最容易被击中的位置,而机尾是最少被击中的位置
[360.8s - 367.8s] 所以军方的指挥官认为,应该加强机翼的防护,因为这是最容易被击中的位置
[368.0s - 374.0s] 但是这个时候,沃德教授给出的教训是,我们应该强化机尾的防护
