P2: 如何制定增长目标

[0.0s - 3.4s] 我们这节课先讲第一个,定义目标
[3.4s - 5.6s] 定目标也就是立一个flag
[5.6s - 7.4s] 比如说我想要减肥
[7.4s - 9.4s] 这是不是一个合格的目标呢
[9.4s - 13.0s] 好像算个目标,但感觉上又不太合格
[13.0s - 14.6s] 那为什么不合格呢
[14.6s - 18.2s] 对,目标制定这里有个smart原则
[18.2s - 19.2s] 什么意思呢
[19.2s - 22.0s] 就是一个好的目标需要满足5个原则
[22.0s - 28.3s] 分别是具体的、可衡量的、可实现的、相关性高的、有明确节点的
[28.7s - 33.4s] 对应到刚才减肥这个flag,事情倒是挺具体的,就是减肥嘛
[33.4s - 36.5s] 但是看起来并没有满足可以衡量的这个要素
[36.5s - 38.5s] 减肥减多少呢
[38.5s - 40.9s] 减掉10千克还是减掉20千克
[40.9s - 42.5s] 这样就可以衡量了
[42.5s - 46.8s] 可实现的,就是要求这个目标要看起来靠谱
[46.8s - 51.3s] 如果本身50千克的人,非要定个目标减掉40千克
[51.3s - 54.2s] 那人就减没了,就不合适了
[54.2s - 56.6s] 再者是相关性高的
[56.6s - 60.7s] 如果你想要提高自己的文化水平,而定了个目标是减肥
[60.7s - 62.3s] 那就不相关了
[62.3s - 65.6s] 而明确时间节点这个事情比较好理解
[65.6s - 68.0s] 就是什么时间点要实现这个目标
[68.0s - 71.8s] 好了,根据smart原则,我们优化下这个flag
[71.8s - 74.8s] 我想要减肥,优化之后是
[74.8s - 79.6s] 我想要在2021年年底前减肥0.1千克
[79.6s - 81.6s] 这就是一个合格的目标了
[81.6s - 83.6s] 看起来也不难对吧
[83.9s - 86.6s] 这是一个定义所有目标的基础原则
[86.6s - 88.5s] 不仅仅是用于定义增长目标
[88.5s - 91.9s] 还可以用来定义OKR目标、KPI目标等等
[91.9s - 93.5s] 各种各样的目标
[93.5s - 96.1s] 只是知道这个基础原则还不太够
[96.1s - 99.2s] 实际制定业务增长目标的时候还是有很多陷阱的
[99.2s - 103.0s] 我们来看一个例子,社交网站的增长指标选择
[103.0s - 107.4s] 到底应该选择注册用户数呢,还是选择越活用户数呢
[107.4s - 109.7s] 首先科普一下越活用户的概念
[109.7s - 112.5s] 越活用户,英文名简称MAU
[112.5s - 116.0s] 指的是一个月内登录或者使用该产品的总用户数
[116.0s - 119.8s] 比如说我做了一款产品,这个月呢,有1000万用户打开过
[119.8s - 121.8s] 那越活用户就是1000万
[121.8s - 124.1s] 这里指的是人数,而不是次数
[124.1s - 127.4s] 如果一个人第一周打开一次,第二周又打开一次
[127.4s - 129.4s] 这也只能算是一个越活用户
[129.4s - 131.4s] 那聪明的你可能要举一反三了
[131.4s - 136.0s] 既然有越活用户,那是不是也有日活用户、周活用户、年活用户呢
[136.0s - 137.6s] 对,你猜对了
[137.6s - 141.2s] 只是最常用的两个概念是越活用户和日活用户
[141.4s - 145.6s] 体现一款产品长周期的使用频次以及短周期的使用频次
[145.6s - 148.2s] 简称分别是MAU和DAU
[148.2s - 151.6s] 回到刚才那个问题,你会选择哪个呢
[151.6s - 155.4s] 是不是觉得很难下手,两个指标好像并没有区别
[155.4s - 157.4s] 实际上区别可大了
[157.4s - 159.4s] 这里补充一句题外话
[159.4s - 163.3s] 有些时候在职业上或者学业上会遇到一些困难,不好解决
[163.3s - 164.6s] 其实是好事情
[164.6s - 167.6s] 因为你觉得难的问题,大概率别人也会觉得很难
[167.8s - 171.2s] 而你找到的解决方法,你就已经在这个问题上超越了别人
[171.2s - 175.3s] 而这种困难遇到的多了,解决的多了,能力上也就比别人强了
[175.3s - 178.1s] 至于说什么时间才能把这些能力转化成钱
[178.1s - 181.2s] 这个问题不需要太着急,总会有那么一天的
[181.2s - 183.4s] 好,继续说回来
[183.4s - 185.9s] 注册用户数是一个相对好看的数据
[185.9s - 188.2s] 因为它虽然可以反映一款产品的体量
[188.2s - 190.6s] 但并不能直接反映一款产品的健康度
[190.6s - 191.9s] 举个例子来说
[191.9s - 194.8s] 一款互联网产品现在注册用户是3亿
[194.8s - 197.1s] 听起来应该是一款很厉害的产品对吧
[197.3s - 198.5s] 但如果我告诉你
[198.5s - 200.7s] 我收到这款产品其实是暴风影音
[200.7s - 202.1s] 你还会这么认为吗
[202.1s - 204.4s] 因为这款产品已经消失了
[204.4s - 206.1s] 虽然已经没人使用这款产品了
[206.1s - 207.7s] 但是当年的注册用户数据
[207.7s - 210.9s] 仍然静静的躺在世界某个角落的数据库里边
[210.9s - 212.6s] 所以这是个静态数据
[212.6s - 215.8s] 注册用户不能反映这些用户是不是5年前注册的
[215.8s - 218.5s] 也不能反映注册之后是否还在使用
[218.5s - 219.5s] 停留时长呢
[219.5s - 221.8s] 也跟注册用户数没有直接的关系
[221.8s - 224.0s] 更不要提用户年限的问题了
[224.0s - 226.7s] 相对比的,越活用户数要维持住
[226.7s - 229.1s] 就要考虑这个月新增了多少用户
[229.1s - 230.4s] 用户有没有留下来
[230.4s - 231.8s] 流失了多少用户
[231.8s - 233.3s] 因为什么原因流失的
[233.3s - 235.0s] 以及用户年限如何
[235.0s - 236.5s] 只有保证了这些关键指标
[236.5s - 238.1s] 才能保证一款产品的竞争力
[238.9s - 240.7s] 到这里答案就很明显了
[240.7s - 243.1s] 应该选择越活用户数作为增长红量指标
[244.0s - 245.2s] 当然有利有弊啊
[245.2s - 247.4s] 注册用户数是一个只增不降的数据
[247.4s - 248.8s] 看起来会比较好看
[248.8s - 250.5s] 所以也被称为虚荣指标
[250.5s - 251.7s] 很多做增长的人
[251.7s - 253.2s] 虽然心里跟明镜似的
[253.2s - 254.7s] 但是跟老板制定目标的时候
[254.8s - 256.3s] 也会把注册用户数报上去
[256.9s - 257.9s] 老板如果不懂
[257.9s - 259.3s] 也还是会被忽悠的一愣一愣的
[260.6s - 262.0s] 听到这里你可能会想
[262.0s - 263.9s] 真的有公司会把注册用户数
[263.9s - 265.1s] 当做增长指标吗
[265.1s - 266.1s] 还真有
[266.1s - 268.7s] 曾经Facebook的竞敌Myspace
[268.7s - 271.4s] 就是用注册用户数作为自己的增长指标
[271.4s - 272.3s] 而同期呢
[272.3s - 274.2s] Facebook选择了越活用户数
[274.2s - 276.0s] 作为自己的增长指标
[276.0s - 276.8s] 后来的故事
[276.8s - 278.0s] 大家也都知道了
[278.0s - 279.9s] Facebook失之过万亿
[279.9s - 280.9s] 而且是美金
[280.9s - 283.3s] 而Myspace已经凉了
[283.3s - 285.5s] 这是Myspace和Facebook
[285.5s - 286.6s] 都作为越活用户数
[286.6s - 288.7s] 指标衡量时的对比曲线
[288.7s - 289.4s] 当然了
[289.4s - 290.2s] Myspace的没落
[290.2s - 292.4s] 不仅仅是指标定错了这一个问题
[292.4s - 293.8s] 还会有公司战略的问题
[293.8s - 295.4s] 内部执行的问题等等
[295.4s - 297.0s] 但是我们也可以感受到
[297.0s - 298.4s] 一个核心指标定错了
[298.4s - 301.1s] 对公司整体的导向会有很大的影响
[301.1s - 301.7s] 好了
[301.7s - 303.9s] 我们接下来一起做几个思考题
[303.9s - 305.6s] 对于网易云音乐来说
[305.6s - 306.9s] 分别三个选项
[306.9s - 308.7s] 分别是总听歌时间
[308.7s - 309.7s] 注册用户数
[309.7s - 310.9s] 越活用户数
[310.9s - 312.0s] 三个指标
[312.0s - 314.7s] 大家觉得哪个指标作为目标会比较好呢
[314.7s - 315.9s] 根据前面的课程
[315.9s - 317.8s] 我们可以先排除一个错误答案
[317.8s - 318.9s] 注册用户数
[318.9s - 321.7s] 那么越活用户数和本月总听歌时间
[321.7s - 323.2s] 哪个更好呢
[323.2s - 326.1s] 我们可以思考下这两个数据背后的用户行为
[326.1s - 328.6s] 越活用户数可以反映每个月有多少用户
[328.6s - 330.3s] 打开了网易云音乐
[330.3s - 331.6s] 至于有没有听歌
[331.6s - 333.8s] 听了多久是不能体现的
[333.8s - 335.2s] 而总听歌时间呢
[335.2s - 337.1s] 是这个月活跃的听歌人数
[337.1s - 338.8s] 乘以每个人听歌的时长
[338.8s - 341.9s] 所以总听歌时间会更能体现产品的健康度
[342.5s - 344.0s] 那么以此类推
[344.0s - 345.7s] 对于办公类产品SLAAC
[345.7s - 347.8s] 可以将每个月发送的消息数
[347.8s - 349.6s] 来评价产品的健康情况
[349.6s - 351.4s] 对于房间共享类产品
[351.4s - 352.5s] Airbnb
[352.5s - 355.5s] 可以将每个月预定的总天数作为衡量指标
[356.6s - 357.9s] 我们再看两个产品
[357.9s - 360.6s] 网盘类产品Drawbox
[360.6s - 362.3s] 你觉得使用哪个指标更合理呢
[363.4s - 365.2s] 对 文件操作数
[365.2s - 366.4s] 上传下载
[366.4s - 367.5s] 编辑分享
[367.5s - 368.7s] 都属于文件操作
[368.7s - 371.5s] 一定程度上可以体现大家使用网盘的一个积极性
[372.7s - 374.0s] 知识问答类产品
[374.0s - 375.0s] 知乎
[375.0s - 376.5s] 可以将回答问题数
[376.5s - 378.4s] 作为增长衡量指标
[378.4s - 379.1s] 当然了
[379.1s - 381.3s] 这里的增长衡量指标并不是唯一的
[381.3s - 382.5s] 可以是多个维度
[382.5s - 384.5s] 而且在产品的不同发展阶段呢
[384.5s - 386.8s] 最重要的指标也是会不同的
