P4: 增长的那些基本套路

[0.0s - 2.6s] 大家好,这期课我们讲讲增长的基本套路
[2.6s - 5.1s] 做增长的时候如何去寻找机会点
[5.3s - 7.1s] 唐诗三百首的作者说过
[7.1s - 9.7s] 熟读唐诗三百首,不会赢是也会赢
[9.9s - 12.4s] 所以只要掌握了这几课的增长套路
[12.4s - 15.5s] 基本上增长的一些初级问题就都不是问题了
[15.5s - 17.4s] 当然了,由于干货比较多
[17.4s - 19.2s] 建议大家开启高清模式
[19.2s - 20.7s] 适当的时候可以截屏
[20.7s - 22.5s] 对照工作来对号入座
[22.8s - 25.9s] 哦,听课之前要不要先素质三连走一波
[26.1s - 27.9s] 这期课主要讲两个方面
[28.0s - 30.1s] 分别是拉芯套路和流程套路
[30.1s - 32.9s] 以及跟这两个套路相关的一个名词解释
[32.9s - 33.9s] AHA MOMENT
[34.4s - 35.9s] 首先是拉芯套路
[35.9s - 37.6s] 这个部分内容比较多
[37.6s - 40.3s] 所以我们列一张表一个个来解释
[40.7s - 42.7s] 拉芯套路主要分四类
[43.0s - 44.1s] 第一类渠道
[44.5s - 45.7s] 增长必修课
[45.7s - 47.8s] 主要是利用一些常规技术手段
[47.8s - 49.5s] 免费实现产品的增长
[49.7s - 51.9s] 这类手段虽然看起来平平无奇
[51.9s - 53.1s] 但是真的很有用
[53.1s - 54.7s] 待会我们来重点来看
[54.7s - 55.7s] 第二类渠道
[55.7s - 56.9s] 付费推广拉芯
[57.0s - 57.8s] 虽然花钱
[57.8s - 59.3s] 但效果也是力干见影的
[59.6s - 60.7s] 有些非常时刻
[60.7s - 62.5s] 甚至能决定一家公司的生死
[63.1s - 65.2s] 之前拼多多正版补贴大战
[65.2s - 66.8s] 团购的千团大战
[67.0s - 69.2s] 以及滴滴U部的车费补贴
[69.3s - 71.0s] 还有最近的社区买菜
[71.2s - 72.9s] 其实都是大量用的这个手法
[73.9s - 74.7s] 第三类渠道
[74.9s - 75.6s] 做爆款
[76.1s - 78.0s] 用病毒视频或者病毒H5
