P3: 一起拆解目标吧！

[0.0s - 4.0s] 这节我们讲如何拆解增长目标的第一个部分
[4.0s - 6.6s] 开始之前我们先看一道思考题
[6.6s - 9.8s] 同样的一个帖子在微博内是左边这样展示
[9.8s - 12.6s] 但是分享到微信里边就变成了右边这样
[12.6s - 14.6s] 为什么不保持一致呢
[14.6s - 16.6s] 是不是他们的设计师能力不行
[16.6s - 18.5s] 看完这次十几分钟的课程
[18.5s - 20.4s] 你就可以自己回答这个问题了
[20.4s - 23.4s] 先回顾一下增长的全景图,强化记忆
[23.4s - 26.8s] 首先是定义目标,然后是拆解目标
[26.8s - 29.5s] 我们以上一节课讲定义目标的时候
[29.5s - 31.5s] 提到的网易云音乐为例子
[31.5s - 35.9s] 网易云音乐可以以每日总听歌时间为增长目标
[35.9s - 39.1s] 那这里假设我们把目标定义为90万分钟
[39.1s - 41.3s] 这还仅仅是一个目标
[41.3s - 42.5s] 那下一步怎么做呢
[42.5s - 43.9s] 肯定是要拆解这个目标
[43.9s - 45.5s] 那拆到什么程度呢
[45.5s - 47.3s] 拆到我们可以执行的程度
[47.3s - 49.5s] 那什么才是可以执行的程度呢
[49.5s - 51.3s] 我们结合例子来看
[51.3s - 54.5s] 每天听歌的总时长是怎么计算出来的呢
[54.5s - 58.7s] 是每天总听歌用户数乘以日均用户听歌时长
[59.5s - 61.3s] 如果想要达到90万分钟
[61.3s - 62.7s] 那么可以是3万用户
[62.7s - 64.4s] 每人每天听歌30分钟
[64.4s - 66.2s] 就可以达到增长的目标了
[66.2s - 67.8s] 这个时候你可能会问
[67.8s - 69.4s] 可不可以拆解为1万用户
[69.4s - 71.7s] 每人每天听歌90分钟呢
[71.7s - 72.8s] 是可以的
[72.8s - 75.5s] 只是拆解完目标是要去执行的
[75.5s - 77.6s] 如果这款产品之前的历史数据
[77.6s - 80.1s] 每人每天听歌只有20分钟
[80.1s - 80.7s] 同时呢
[80.7s - 82.3s] 竞争对手的产品最高的
[82.3s - 84.3s] 每人每天也只有35分钟
[84.3s - 86.9s] 那么这个拆解方式就会有点问题了
[86.9s - 90.1s] 因为看起来几乎不太可能执行的下去
[90.1s - 92.3s] 所以这些目标拆解的过程中
[92.3s - 94.9s] 是需要结合自己的一些经验的
[94.9s - 97.6s] 我们继续拆解每天总听歌用户数
[97.6s - 100.1s] 可以拆解为日新增听歌用户
[100.1s - 102.5s] 加上每日听歌老用户
[102.5s - 106.1s] 这里假设我们拆解为5000加上25000
[106.1s - 108.0s] 而日新增听歌用户数呢
[108.0s - 111.2s] 可以拆解为日应用下载量乘以激活用户数
[111.2s - 112.6s] 乘以听歌用户比例
[112.6s - 114.6s] 根据实际下载转化的情况
[114.7s - 117.6s] 拆解为3万下载乘以50%激活
[117.6s - 120.6s] 乘以33%的听歌用户比例
[120.6s - 123.5s] 再继续拆解日应用下载量
[123.5s - 127.1s] 那么怎么才能每天有3万人下载呢
[127.1s - 128.3s] 对于安卓渠道来说
[128.3s - 129.6s] 可以充值买广告位
[129.6s - 132.3s] 也可以给一些掐饭的UP主充值
[132.3s - 134.4s] 让他们做节目的时候代入进去
[134.4s - 136.7s] 另外还可以通过搜索引擎推广
[136.7s - 138.2s] 还可以找到公司内的产品
[138.2s - 139.5s] 比如说网易新闻
[139.5s - 141.0s] 云笔记什么的
[141.0s - 142.8s] 这些公司内部的流量大户之间
[142.8s - 144.4s] 可以相互导流
[144.4s - 147.4s] 到这里就拆解到了可以执行的步骤
[147.4s - 149.5s] 当然这里只是拆解了一条链路
[149.5s - 151.5s] 还有每日听歌老用户数这里
[151.5s - 153.1s] 也可以继续拆解为
[153.1s - 155.9s] 已有用户数乘上持续听歌的比例
[155.9s - 157.9s] 因为已有用户数是固定的
[157.9s - 160.5s] 所以可以想办法提升听歌的比例
[160.5s - 163.5s] 比如说给老用户谈一下破事消息什么的
[163.5s - 166.3s] 还有上边的日经听歌时长
[166.3s - 168.2s] 也是需要继续拆解下去的
[168.2s - 169.8s] 直到拆解不动为止
[169.8s - 172.0s] 或者拆解到可以执行的步骤
[172.0s - 174.0s] 就算是目标拆解好了
[174.0s - 177.1s] 拆解完是不是就可以进入下一步的实验优化了呢
[177.1s - 178.7s] 进度条会告诉你
[178.7s - 180.1s] 事情并没有那么简单
[180.1s - 182.9s] 因为在拆解完目标和做实验优化之间
[182.9s - 184.2s] 还有很关键的一步
[184.2s - 186.6s] 这一步就是搭建增长模型
[186.6s - 189.1s] 搭建增长模型有很多种方法
[189.1s - 190.9s] 比如说用户体验旅程
[190.9s - 193.0s] 本能需求决策三部曲
[193.0s - 195.3s] 用户洞察 数据洞察等等
[195.3s - 198.4s] 当然了 这些方法未必只是用在增长这里
[198.4s - 200.2s] 做产品或者做用户体验
[200.2s - 201.6s] 都是可以用这些方法的
[201.6s - 202.8s] 后边你学的多了
[202.9s - 206.0s] 你会发现做产品 做设计 做增长
[206.0s - 208.3s] 有很多知识都是相通的
[208.3s - 210.8s] 我们先来看本能需求决策三部曲
[210.8s - 213.4s] 本能是指用户底层的需求
[213.4s - 216.1s] 这个时候就需要搬出马斯洛需求分析了
[216.1s - 218.4s] 马斯洛提出人的需求会分为五层
[218.4s - 220.8s] 从下到上分别是生理需求
[220.8s - 222.6s] 安全需求 社交需求
[222.6s - 224.6s] 尊严需求和自我实现
[224.6s - 226.2s] 欲望下层就基础
[226.2s - 228.6s] 人会首先要满足底层的需求
[228.6s - 230.3s] 一旦这一层的需求被满足了
[230.3s - 232.6s] 就会想要满足上层的需求
[232.6s - 234.3s] 比如说人想要归属感
[234.3s - 236.3s] 就可以理解为是社交需求
[236.3s - 237.5s] 而诸位在听我的课程
[237.5s - 240.8s] 可以理解为通过学习去达到自我实现
[240.8s - 241.3s] 好了
[241.3s - 244.2s] 我们将这些需求对应到微信的产品功能上
[244.2s - 247.6s] 比如说归属感可以对应着朋友圈和微信群
[247.6s - 249.4s] 大家可以通过这样的产品功能
[249.4s - 252.0s] 满足与朋友或者同事社交的需求
[252.0s - 252.9s] 而公众号呢
[252.9s - 254.9s] 可以满足大家学习的需求
[254.9s - 256.9s] 决策要分析影响用户
[256.9s - 258.9s] 做出行为的影响因素
[258.9s - 261.2s] 刚才的产品功能看起来还不错
[261.2s - 263.4s] 但是大家会不会使用这些功能呢
[263.4s - 264.3s] 未必
[264.3s - 266.1s] 因为满足大家社交需求的
[266.1s - 267.1s] 可以有很多产品
[267.1s - 269.1s] 比如说坦坦 QQ
[269.1s - 271.3s] 或者线下聚会什么的
[271.3s - 273.3s] 那什么因素会影响到大家
[273.3s - 275.8s] 究竟是否会使用这个产品功能呢
[275.8s - 277.7s] 这里有一个复格行为模型
[277.7s - 278.9s] 可以供大家参考
[278.9s - 280.6s] 复格行为模型
[280.6s - 283.5s] 用公式表示就是B等于MAT
[283.5s - 284.4s] B是行为
[284.4s - 285.3s] M是动机
[285.3s - 286.2s] A是能力
[286.2s - 287.8s] T是触发器
[287.8s - 290.8s] 这个公式并非是M乘以A乘以T
[290.9s - 292.9s] 而是指这三者会同时出现
[292.9s - 296.0s] 这个公式用图形表示会更容易理解一点
[296.0s - 297.5s] 就是右边这个图形
[297.5s - 300.0s] 左下角是要求能力很高
[300.0s - 301.5s] 但用户动机很小
[301.5s - 303.5s] 所以基本上没人会去做的事情
[303.5s - 304.5s] 相反
[304.5s - 306.0s] 右上角是要求能力很低
[306.0s - 307.5s] 但是用户动机很高的事情
[307.5s - 309.0s] 中间有一条弧线
[309.0s - 312.0s] 这条弧线左下侧是无效触发区
[312.0s - 314.5s] 右上角是有效触发区
[314.5s - 316.5s] 我们结合案例来看
[316.5s - 317.8s] 连续牵到30天
[317.8s - 319.0s] 得到0.1元
[319.0s - 320.4s] 就是一件要求很高
[320.4s - 322.0s] 但是奖励太小的事情
[322.0s - 324.0s] 正常的用户都会觉得
[324.0s - 325.5s] 让我连续过来牵到30天
[325.5s - 326.5s] 才给一毛钱
[326.5s - 328.5s] 我的时间就这么不值钱吗
[328.5s - 330.5s] 但如果我们改一下
[330.5s - 332.5s] 改成牵到即可获得0.1元
[332.5s - 334.5s] 就变成一件要求很低
[334.5s - 336.0s] 奖励也不高的事情
[336.0s - 337.5s] 就会有用户觉得
[337.5s - 339.0s] 随手牵到给一毛钱
[339.0s - 340.0s] 不要白不要
[340.0s - 343.0s] 那这件事情就落在了有效触发区里边
[343.0s - 345.0s] 或者我们把这件事情改成
[345.0s - 347.5s] 连续牵到30天得到100元
[347.5s - 349.5s] 那这件事就是要求很高
[349.6s - 351.6s] 这件事是奖励很高的事情
[351.6s - 353.6s] 就会有用户乐意每天过来牵到
[353.6s - 355.6s] 甚至有人会定个闹钟
[355.6s - 357.6s] 来提醒自己过来牵到
[357.6s - 359.6s] 以完成这个目标
[359.6s - 361.6s] 这样这件事也落在了有效触发区内
[361.6s - 363.6s] 还有个案例就是
[363.6s - 365.6s] 大家理发办会员卡的时候
[365.6s - 367.6s] 经常会遇到冲100送10块的活动
[367.6s - 369.6s] 而冲200可以送50
[369.6s - 371.6s] 冲10000可能就直接送10000了
[371.6s - 373.6s] 其实也是在利用这个方法论
[373.6s - 375.6s] 你会看到商家总是喜欢
[375.6s - 377.6s] 沿着这条曲线来搞事情
[377.7s - 379.7s] 那为什么没有人做要求能力很低
[379.7s - 381.7s] 但是给的奖励很多的事情呢
[381.7s - 383.7s] 比如说牵到就送100万这种事
[383.7s - 387.7s] 我觉得好像没有太多必要去解释啊
[387.7s - 389.7s] 如果非要解释
[389.7s - 391.7s] 就是落在右上角的这个事情
[391.7s - 393.7s] 基本上就是骗子的手法了
[393.7s - 395.7s] 你非要选择相信那我也没有办法
[395.7s - 397.7s] 好了我们再来看另外一个
[397.7s - 399.7s] 大建增长模型的方法
[399.7s - 401.7s] 就是数据洞察
[401.7s - 403.7s] 数据洞察顾名思义
[403.7s - 405.7s] 就是根据实际的产品数据和用户数据
[405.8s - 407.8s] 我们来看看如何才能实现增长
[407.8s - 409.8s] 还是看一个例子
[409.8s - 411.8s] 很多平台都希望用户多多分享
[411.8s - 413.8s] 就是一键三连旁边这个箭头
[413.8s - 415.8s] 为什么呢
[415.8s - 417.8s] 因为大家分享的内容
[417.8s - 419.8s] 都是会分享给志趣相投的朋友
[419.8s - 421.8s] 既然志趣相投被分享的人
[421.8s - 423.8s] 大概率也会喜欢这个内容
[423.8s - 425.8s] 所以分享出去的链接
[425.8s - 427.8s] 有一定概率会带来新的用户和新的下载量
[427.8s - 429.8s] 这个事情并不难理解
[429.8s - 431.8s] 所以提升分享拉新拉活用户数
[431.8s - 433.8s] 就变成了增长的重要命题之一
[433.9s - 435.9s] 而如何提升呢
[435.9s - 437.9s] 根据前面的讲解很容易转化为
[437.9s - 440.9s] 提升分享量和提升每次分享拉新拉活的用户数
[440.9s - 442.9s] 到这里好像还是有点懵
[442.9s - 444.9s] 不知道下一步该做什么
[444.9s - 446.9s] 对于一款已经发布的产品来说
[446.9s - 448.9s] 只要不是特别冷门
[448.9s - 450.9s] 我们其实可以从数据上找机会点
[450.9s - 452.9s] 用户在分享的过程中究竟发生了什么
[452.9s - 454.9s] 首先是谁在分享
[454.9s - 456.9s] 一直分享内容的人
[456.9s - 458.9s] 用户画像是什么
[458.9s - 460.9s] 是十几岁的小朋友还是四五十岁的叔叔
[460.9s - 462.9s] 分享了之后呢
[463.0s - 465.0s] 第二个是高转化率的用户是谁
[465.0s - 467.0s] 因为有人分享了很多但是对方都不看
[467.0s - 469.0s] 比如说长辈们发给你的那些视频
[469.0s - 471.0s] 你一般看看标题就结束了
